384,0
1084,0
3702,0
3007,1
667,1
1053,1
1894,0
2493,1
1325,0
3517,1
3877,1
140,0
204,0
956,0
291,0
1,1
3809,0
3973,1
3706,0
2334,0
755,1
1813,1
2335,0
2506,0
1393,1
450,0
2021,1
160,1
1780,1
1596,0
3165,0
2797,0
2346,0
3932,1
2117,1
2904,0
355,0
1500,0
3449,1
347,1
548,0
2541,1
2351,1
1732,0
3903,1
2602,0
2325,1
1550,0
528,0
2938,0
1716,0
453,1
2912,0
1310,0
1031,0
2718,0
2192,0
1202,0
196,1
2706,0
1377,0
3118,1
1005,1
3568,1
2511,1
1144,0
1363,1
1670,0
3351,1
3296,1
2657,1
2180,0
266,0
2909,1
1344,0
2235,1
2239,1
3191,1
2618,1
2787,1
83,1
3270,0
2974,1
988,0
3918,1
735,1
1279,1
1567,0
3722,0
2790,0
1468,0
1678,1
836,1
3490,0
2439,1
1800,0
2744,0
1656,1
3169,0
3963,1
95,1
1641,1
379,0
2251,1
436,0
3700,1
959,1
2366,0
259,1
1977,1
1906,0
759,1
2070,0
961,1
3128,0
2588,1
1035,0
1044,0
1674,0
2867,1
734,0
2398,0
491,1
4,0
2205,1
2555,1
3488,0
417,1
2875,1
1300,1
1042,1
3957,1
2976,0
359,0
3499,1
685,1
1947,1
152,0
3919,1
3737,1
1431,1
1187,1
3140,0
3304,0
406,0
1883,1
2175,1
888,1
2819,1
874,0
3298,0
1013,1
483,1
162,0
2017,1
2591,1
2200,0
2724,1
3164,1
120,0
2613,1
3061,1
2837,0
3045,0
2581,0
2352,0
3328,0
2281,1
1369,1
2332,0
601,1
2653,1
2361,1
1623,1
2059,1
1710,1
1688,0
1755,1
1750,0
3602,0
3067,1
1228,1
123,1
306,0
3323,1
2080,0
282,0
1132,1
360,0
177,1
3202,0
3653,0
52,0
3374,0
2507,0
1608,0
2641,0
2518,0
1481,1
2132,0
720,0
3533,1
770,1
2824,1
3569,0
2917,1
219,0
2829,0
362,0
862,0
305,1
1066,1
2972,0
1417,0
3655,1
3541,1
671,0
1290,1
3380,0
1981,0
966,1
694,0
280,0
587,1
922,0
1133,0
3846,0
117,0
2297,1
1795,0
446,0
245,1
3337,0
1205,0
1730,1
3685,0
3624,1
2930,0
3713,1
163,1
3930,1
1117,1
2321,1
2151,1
2497,1
209,1
3853,0
3946,1
348,0
2079,1
1911,1
1123,1
1545,0
1933,0
2054,0
3274,0
3220,0
2412,0
3549,1
635,1
171,1
3137,1
2005,1
2030,0
1268,0
3435,1
1418,0
2527,1
679,1
1483,1
1651,1
1207,1
543,0
288,0
2629,1
2452,0
3810,0
3416,0
981,1
2948,0
299,1
3230,0
1769,1
3029,1
2906,0
539,1
332,1
1865,1
2893,1
2586,1
1139,1
1092,1
1809,0
3400,0
2425,1
2644,0
3575,1
3186,0
2696,1
1988,1
3357,1
3938,0
1294,0
1070,0
2194,0
1265,1
2053,1
532,0
3360,0
2672,0
118,1
3022,0
1681,0
897,1
858,1
3539,1
1196,1
1959,1
2749,1
738,1
1365,0
1216,0
